Designator,Mid X,Mid Y,Layer,Rotation,Val,Package
AT1,125.835,-140.97,top,90,2450AT43B100E,ANTENNA_2450AT43B100E
C1,109.667553,-124.802521,top,90,1uF,C_0603_1608Metric
C2,91.341774,-81.424029,top,0,100nF,C_0402_1005Metric
C3,115.947596,-131.153623,top,0,820pF,C_0402_1005Metric
C4,116.538917,-128.268877,top,0,100pF,C_0402_1005Metric
C5,107.438397,-125.531074,top,0,4.7uF,C_0603_1608Metric
C6,105.950037,-136.81908,top,-90,4.7uF,C_0603_1608Metric
C7,105.067136,-128.664026,top,180,100nF,C_0402_1005Metric
C8,104.458568,-133.551013,top,180,4.7uF,C_0603_1608Metric
C9,90.405669,-74.363267,top,90,100nF,C_0402_1005Metric
C10,121.276624,-129.066861,top,-90,0.5pF,C_0402_1005Metric
C11,118.401455,-129.04323,top,-90,0.8pF,C_0402_1005Metric
C12,81.456893,-59.237539,top,0,22uF,C_1210_3225Metric
C13,80.132178,-56.617414,top,90,680pF,C_0402_1005Metric
C14,119.010284,-124.267565,top,-90,12pF,C_0402_1005Metric
C15,89.889921,-65.528802,top,0,22uF,C_1210_3225Metric
C16,89.878901,-68.784203,top,0,22uF,C_1210_3225Metric
C17,98.340685,-52.51055,top,180,22uF,C_1210_3225Metric
C18,87.63,-77.47,top,-90,10uF,C_0603_1608Metric
C19,88.872895,-76.909286,top,-90,100nF,C_0402_1005Metric
C20,99.978278,-57.762007,top,-90,680pF,C_0402_1005Metric
C21,114.565349,-124.170028,top,-90,12pF,C_0402_1005Metric
C22,101.971948,-82.045381,top,-90,100nF,C_0402_1005Metric
C23,81.204921,-52.828802,top,90,22uF,C_1210_3225Metric
C24,102.042537,-71.4014,top,0,100nF,C_0402_1005Metric
C25,102.494327,-117.458592,top,0,100nF,C_0402_1005Metric
C26,102.974327,-118.728592,top,0,10uF,C_0603_1608Metric
C27,96.850078,-115.57,top,90,100nF,C_0402_1005Metric
C28,95.611107,-116.156902,top,90,10uF,C_0603_1608Metric
C29,121.468291,-117.693952,top,0,10uF,C_0603_1608Metric
C30,120.91049,-118.939133,top,0,100nF,C_0402_1005Metric
C31,76.259812,-141.508267,top,-90,0.1uF,C_0603_1608Metric
C32,74.176787,-138.705405,top,-90,10uF,C_0805_2012Metric
C33,82.333724,-138.569439,top,-90,0.1uF,C_0603_1608Metric
C34,84.07605,-138.344623,top,-90,22uF,C_0805_2012Metric
C35,101.306374,-89.075806,top,0,"22uF, 25V",C_1210_3225Metric
C36,100.898364,-96.538716,top,180,1uF,C_0805_2012Metric
C37,67.627433,-94.910757,top,0,"22uF, 200V",C_1210_3225Metric
C38,65.919383,-89.917994,top,0,"10uF, 100V electrolytic",CP_Radial_D6.3mm_P2.50mm
C39,97.47,-96.52,top,180,1uF,C_0805_2012Metric
C40,74.755258,-94.943604,top,0,"22uF, 200V",C_1210_3225Metric
C41,73.966927,-89.425287,top,0,"10uF, 100V electrolytic",CP_Radial_D6.3mm_P2.50mm
C42,72.086999,-121.298503,top,0,"22uF, 6.3V",C_0805_2012Metric
C43,90.960134,-97.244732,top,-90,4.7pF,C_0805_2012Metric
C44,94.726362,-106.334988,top,-90,22uF,C_0805_2012Metric
C45,90.805193,-93.200027,top,90,"22uF, 25V",C_1210_3225Metric
C46,72.802094,-123.343061,top,0,1uF,C_0603_1608Metric
C47,65.875222,-128.170498,top,0,10pF,C_0603_1608Metric
C48,97.710712,-127.520828,top,90,4.7uF,C_0805_2012Metric
C49,91.549372,-127.472122,top,90,4.7uF,C_0805_2012Metric
D1,77.84871,-54.112694,top,-90,SMAJ54CA,D_SMA
D2,102.227332,-57.654309,top,90,SMAJ54CA,D_SMA
D3,95.915297,-129.754936,top,-90,PESD5V0L1UL,D_SOD-882
