"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C44,C34";"C_0805_2012Metric";2;"22uF";;;
2;"R68,R21,R34,R41,R45,R59,R64,R58,R39,R35,R43,R42,R67";"R_0402_1005Metric";13;"100k";;;
3;"C27,C24,C22,C7,C25,C2,C30,C9,C19";"C_0402_1005Metric";9;"100nF";;;
4;"T1";"WE-FLYLT_EP13_5465";1;"Wurth 750315839 - 1:10, 40uH";;;
5;"TP25,TP5,TP28,TP18,TP37,TP9,TP10,TP27,TP34,TP11,TP1,TP20,TP14,TP35,TP4,TP17,TP23,TP33,TP12,TP29,TP13,TP36,TP22,TP3,TP26,TP8,TP32,TP2,TP16,TP15,TP7,TP38,TP39,TP31,TP6,TP24,TP19,TP21,TP30";"TestPoint_Pad_D2.0mm";39;"TestPoint";;;
6;"R2,R20,R33";"C_0805_2012Metric";3;"150 Ohm";;;
7;"R27,R28,R6,R7";"C_0805_2012Metric";4;"4.4k";;;
8;"C39,C36";"C_0805_2012Metric";2;"1uF";;;
9;"D14";"LED_0402_1005Metric";1;"LED Green";;;
10;"R3,R10,R31,R22,R8,R5,R24";"C_0402_1005Metric";7;"100 Ohm";;;
11;"U1,U8,U6,U4";"Texas_DSBGA-6_0.9x1.4mm_Layout2x3_P0.5mm";4;"TS5A3159AYZPR";;;
12;"R52,R54,R49,R53,R55,R60,R14,R17,R18,R11";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";10;"0 Ohm";;;
13;"U12,U9";"TI_SO-PowerPAD-8_ThermalVias";2;"OPA455";;;
14;"C33,C31";"C_0603_1608Metric";2;"0.1uF";;;
15;"C4";"C_0402_1005Metric";1;"100pF";;;
16;"C13,C20";"C_0402_1005Metric";2;"680pF";;;
17;"Q1,Q5";"SOT-143";2;"BCV62";;;
18;"L2";"L_1008_2520Metric_Pad1.43x2.20mm_HandSolder";1;"4.7uH, 1.2A";;;
19;"Q4,Q8";"SOT-143";2;"BCV61";;;
20;"C43";"C_0805_2012Metric";1;"4.7pF";;;
21;"C47";"C_0603_1608Metric";1;"10pF";;;
22;"C48,C49";"C_0805_2012Metric";2;"4.7uF";;;
23;"R30,R4,R9,R23";"C_0402_1005Metric";4;"1M";;;
24;"C46,C1";"C_0603_1608Metric";2;"1uF";;;
25;"D10,D7,D12,D8";"D_SOD-123";4;"MBR0530";;;
26;"R25,R26";"R_0402_1005Metric";2;"22 Ohm";;;
27;"Q2,Q6";"SOT-23";2;"BC847";;;
28;"U7,U3";"SOT-23-6";2;"MCP4725xxx-xCH";;;
29;"U5";"Nordic_AQFN-73-1EP_7x7mm_P0.5mm";1;"nRF52840";;;
30;"R37,R36";"R_0402_1005Metric";2;"5.1k";;;
31;"D4,D11,D9,D6";"D_SMA";4;"SS3200";;;
32;"Q7,Q3";"SOT-23";2;"BC857";;;
33;"R19,R32,R1";"C_0805_2012Metric";3;"1k";;;
34;"L3";"L_7.3x7.3_H3.5";1;"10uH";;;
35;"J2";"Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal";1;"AudioPlug3";;;
36;"C28,C29,C26,C18";"C_0603_1608Metric";4;"10uF";;;
37;"R63";"R_0402_1005Metric";1;"330";;;
38;"U14";"Texas_S-PVSON-N10_ThermalVias";1;"TPS61200DRC";;;
39;"D3";"D_SOD-882";1;"PESD5V0L1UL";;;
40;"C45,C35,C15,C16";"C_1210_3225Metric";4;"22uF, 100V";;;
41;"R38,R44";"R_1206_3216Metric";2;"10k";;;
42;"U13";"SSOP-8_2.95x2.8mm_P0.65mm";1;"74AUC1G74";;;
43;"U16";"SOIC127P599X175-9N";1;"LT8304IS8E_PBF";;;
44;"U10";"QFN50P200X150X40-10N";1;"TLV9062";;;
45;"J1";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"Conn_ARM_JTAG_SWD_10";;;
46;"R48";"R_0402_1005Metric";1;"1.2M";;;
47;"C14,C21";"C_0402_1005Metric";2;"12pF";;;
48;"J6";"PinHeader_1x01_P1.00mm_Horizontal";1;"Conn_01x01_Pin";;;
49;"R13,R12";"R_0402_1005Metric";2;"4.7k";;;
50;"L5";"L_0402_1005Metric";1;"1.8nH, 5%";;;
51;"C42";"C_0805_2012Metric";1;"22uF, 50V";;;
52;"C38,C41";"CP_Radial_D6.3mm_P2.50mm";2;"10uF, 100V electrolytic";;;
53;"R57";"R_0603_1608Metric";1;"2M";;;
54;"D13";"LED_0402_1005Metric";1;"LED Yellow";;;
55;"R65";"R_0402_1005Metric";1;"1k";;;
56;"C11";"C_0402_1005Metric";1;"0.8pF";;;
57;"C32";"C_0805_2012Metric";1;"10uF";;;
58;"U17";"SOT-23-5";1;"MCP73831-2-OT";;;
59;"C12,C17,C23";"C_1210_3225Metric";3;"22uF";;;
60;"U15";"SOT95P280X145-5N";1;"LT1615ES5_TRPBF";;;
61;"R40,R46";"R_1206_3216Metric";2;"619 Ohm";;;
62;"R50,R51";"R_0402_1005Metric";2;"220k";;;
63;"L4";"L_0402_1005Metric";1;"2.7nH, 5%";;;
64;"J4";"PinHeader_1x02_P2.00mm_Vertical";1;"Conn_01x02_Pin";;;
65;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
66;"C5,C8,C6";"C_0603_1608Metric";3;"4.7uF";;;
67;"R47";"R_0402_1005Metric";1;"2M";;;
68;"R62";"R_0603_1608Metric";1;"130k";;;
69;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"32MHz - X322532MOB4SI";;;
70;"U11";"LGA-12_2x2mm_P0.5mm";1;"LIS2DH12";;;
71;"R29";"C_0402_1005Metric";1;"R_US";;;
72;"L1";"L_0402_1005Metric";1;"4.7nH, 5%";;;
73;"C10";"C_0402_1005Metric";1;"0.5pF";;;
74;"AT1";"ANTENNA_2450AT43B100E";1;"2450AT43B100E";;;
75;"C40,C37";"C_1210_3225Metric";2;"22uF, 200V";;;
76;"R16,R15";"C_0805_2012Metric";2;"R_US";;;
77;"C3";"C_0402_1005Metric";1;"820pF";;;
78;"SW1";"SW_SPDT_CK_JS102011SAQN";1;"SW_SPDT";;;
79;"D1,D2";"D_SMA";2;"SMAJ54CA";;;
80;"R61";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
81;"S1";"SW_SPST_PTS647_Sx38";1;"5-1437565-0";;;
82;"U2";"Texas_S-PX2QFN-14";1;"TLV9004xRUCR";;;
83;"J3";"USB_C_Receptacle_Amphenol_12401548E4-2A";1;"USB_C_Receptacle";;;
84;"D5";"SOT-23";1;"SP0502BAHT";;;
85;"R66";"R_0402_1005Metric";1;"2k";;;
86;"R56";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
