Designator,Mid X,Mid Y,Layer,Rotation
AT1,125.835,-140.97,top,90
C1,109.667553,-124.802521,top,90
C2,91.341774,-81.424029,top,0
C3,115.947596,-131.153623,top,0
C4,116.538917,-128.268877,top,0
C5,107.438397,-125.531074,top,0
C6,106.919482,-136.821566,top,-90
C7,105.067136,-128.664026,top,180
C8,104.458568,-133.551013,top,180
C9,90.405669,-74.363267,top,90
C10,121.276624,-129.066861,top,-90
C11,118.401455,-129.04323,top,-90
C12,81.456893,-59.237539,top,0
C13,80.132178,-56.617414,top,90
C14,119.010284,-124.267565,top,-90
C15,89.889921,-65.528802,top,0
C16,89.878901,-68.784203,top,0
C17,98.340685,-52.51055,top,180
C18,87.63,-77.47,top,-90
C19,88.872895,-76.909286,top,-90
C20,99.978278,-57.762007,top,-90
C21,114.565349,-124.170028,top,-90
C22,101.971948,-82.045381,top,-90
C23,81.204921,-52.828802,top,90
C24,102.042537,-71.4014,top,0
C25,102.494327,-117.458592,top,0
C26,102.974327,-118.728592,top,0
C27,96.850078,-115.57,top,90
C28,95.611107,-116.156902,top,90
C29,121.468291,-117.693952,top,0
C30,120.91049,-118.939133,top,0
C31,77.642581,-142.168871,top,0
C32,76.101401,-138.82664,top,-90
C33,82.333724,-138.569439,top,-90
C34,84.07605,-138.344623,top,-90
C35,101.306374,-89.075806,top,0
C36,100.898364,-96.538716,top,180
C37,67.486126,-91.87201,top,0
C38,66.138153,-85.247851,top,0
C39,97.47,-96.52,top,180
C40,74.7583,-91.836009,top,0
C41,73.534271,-85.247851,top,0
C42,72.086999,-121.298503,top,0
C43,90.960134,-97.244732,top,-90
C44,94.726362,-106.334988,top,-90
C45,90.805193,-93.200027,top,90
C46,72.830182,-123.027832,top,0
C47,65.875222,-128.170498,top,0
C48,97.710712,-127.520828,top,90
C49,91.549372,-127.472122,top,90
D1,77.84871,-54.112694,top,-90
D2,102.227332,-57.654309,top,90
D3,95.915297,-129.754936,top,-90
D4,111.76,-105.95,top,-90
D5,104.284536,-141.078114,top,0
D6,119.38,-105.95,top,-90
D7,100.136735,-93.085997,top,90
D8,102.476013,-93.109867,top,-90
D9,66.04,-97.06,top,-90
D10,94.797818,-94.341436,top,0
D11,76.306337,-97.020133,top,90
D12,94.774692,-92.051029,top,180
D13,96.683974,-123.494357,top,0
D14,65.34037,-136.624108,top,90
J1,116.84,-140.97,top,90
J2,90.17,-53.92,top,0
J3,96.52,-140.97,top,0
J4,68.58,-139.7,top,0
J5,68.58,-53.34,top,180
J6,124.46,-124.46,top,0
L1,119.840278,-129.517018,top,180
L2,77.234968,-135.716368,top,0
L3,99.678103,-101.800905,top,90
