Designator,Footprint,Quantity,Value,LCSC Part #,DNP
AT1,ANTENNA_2450AT43B100E,1,2450AT43B100E,,
"C1, C46",0603,2,1uF,,
C10,0402,1,0.5pF,,
C11,0402,1,0.8pF,,
"C12, C17, C23",1210,3,22uF,,
"C13, C20",0402,2,680pF,,
"C14, C21",0402,2,12pF,,
"C15, C16, C35, C45",1210,4,"22uF, 100V",,
"C18, C26, C28, C29",0603,4,10uF,,
"C19, C2, C22, C24, C25, C27, C30, C7, C9",0402,9,100nF,,
C3,0402,1,820pF,,
"C31, C33",0603,2,0.1uF,,
C32,0805,1,10uF,,
"C34, C44",0805,2,22uF,,
"C36, C39",0805,2,1uF,,
"C37, C40",1210,2,"22uF, 200V",,
"C38, C41",CP_Radial_D6.3mm_P2.50mm,2,"10uF, 100V electrolytic",,DNP
C4,0402,1,100pF,,
C42,0805,1,"22uF, 50V",,
C43,0805,1,4.7pF,,
C47,0603,1,10pF,,
"C48, C49",0805,2,4.7uF,,
"C5, C6, C8",0603,3,4.7uF,,
"D1, D2",D_SMA,2,SMAJ54CA,,
"D10, D12, D7, D8",D_SOD-123,4,MBR0530,,
"D11, D4, D6, D9",D_SMA,4,SS3200,,
D13,0402,1,LED Yellow,,
D14,0402,1,LED Green,,
D3,D_SOD-882,1,PESD5V0L1UL,,
D5,SOT-23,1,SP0502BAHT,,
J1,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,,DNP
J2,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,AudioPlug3,,
J3,USB_C_Receptacle_Amphenol_12401548E4-2A,1,USB_C_Receptacle,,
J4,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,,DNP
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,,DNP
J6,PinHeader_1x01_P1.00mm_Horizontal,1,Conn_01x01_Pin,,DNP
L1,0402,1,"4.7nH, 5%",,
L2,1008,1,"4.7uH, 1.2A",,
L3,L_7.3x7.3_H3.5,1,10uH,,
L4,0402,1,"2.7nH, 5%",,
L5,0402,1,"1.8nH, 5%",,
"Q1, Q5",SOT-143,2,BCV62,,
"Q2, Q6",SOT-23,2,BC847,,
"Q3, Q7",SOT-23,2,BC857,,
"Q4, Q8",SOT-143,2,BCV61,,
"R1, R19, R32",0805,3,1k,,
"R10, R22, R24, R3, R31, R5, R8",0402,7,100 Ohm,,
"R11, R14, R17, R18, R49, R52, R53, R54, R55, R60",0603,10,0 Ohm,,
"R12, R13",0402,2,4.7k,,
"R15, R16",0805,2,R_US,,
"R2, R20, R33",0805,3,150 Ohm,,
"R21, R34, R35, R39, R41, R42, R43, R45, R58, R59, R64, R67, R68",0402,13,100k,,
"R23, R30, R4, R9",0402,4,1M,,
"R25, R26",0402,2,22 Ohm,,
"R27, R28, R6, R7",0805,4,4.4k,,
R29,0402,1,R_US,,
"R36, R37",0402,2,5.1k,,
"R38, R44",1206,2,10k,,
"R40, R46",1206,2,619 Ohm,,
R47,0402,1,2M,,
R48,0402,1,1.2M,,
"R50, R51",0402,2,220k,,
R56,0805,1,100k,,
R57,0603,1,2M,,
R61,0805,1,10k,,
R62,0603,1,130k,,
R63,0402,1,330,,
R65,0402,1,1k,,
R66,0402,1,2k,,
S1,SW_SPST_PTS647_Sx38,1,5-1437565-0,,
SW1,SW_SPDT_CK_JS102011SAQN,1,SW_SPDT,,
T1,WE-FLYLT_EP13_5465,1,"Wurth 750315839 - 1:10, 40uH",,DNP
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.0mm,39,TestPoint,,DNP
"U1, U4, U6, U8",Texas_DSBGA-6_0.9x1.4mm_Layout2x3_P0.5mm,4,TS5A3159AYZPR,,
U10,QFN50P200X150X40-10N,1,TLV9062,,
U11,LGA-12_2x2mm_P0.5mm,1,LIS2DH12,,
"U12, U9",TI_SO-PowerPAD-8_ThermalVias,2,OPA455,,
U13,SSOP-8_2.95x2.8mm_P0.65mm,1,74AUC1G74,,
U14,Texas_S-PVSON-N10_ThermalVias,1,TPS61200DRC,,
U15,SOT95P280X145-5N,1,LT1615ES5_TRPBF,LT1615ES5#PBF,
U16,SOIC127P599X175-9N,1,LT8304IS8E_PBF,,
U17,SOT-23-5,1,MCP73831-2-OT,,
U2,Texas_S-PX2QFN-14,1,TLV9004xRUCR,,
"U3, U7",SOT-23-6,2,MCP4725xxx-xCH,,
U5,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32MHz - X322532MOB4SI,,
