Designator,Mid X,Mid Y,Rotation,Layer
AT1,125.835,-140.97,90.0,top
C1,109.667553,-124.802521,90.0,top
C10,121.276624,-129.066861,270.0,top
C11,118.401455,-129.04323,270.0,top
C12,81.456893,-59.237539,0.0,top
C13,80.132178,-56.617414,90.0,top
C14,119.010284,-124.267565,270.0,top
C15,89.889921,-65.528802,0.0,top
C16,89.878901,-68.784203,0.0,top
C17,98.340685,-52.51055,180.0,top
C18,87.63,-77.47,270.0,top
C19,88.872895,-76.909286,270.0,top
C2,91.341774,-81.424029,0.0,top
C20,99.978278,-57.762007,270.0,top
C21,114.565349,-124.170028,270.0,top
C22,101.971948,-82.045381,270.0,top
C23,81.204921,-52.828802,90.0,top
C24,102.042537,-71.4014,0.0,top
C25,102.494327,-117.458592,0.0,top
C26,102.974327,-118.728592,0.0,top
C27,96.850078,-115.57,90.0,top
C28,95.611107,-116.156902,90.0,top
C29,121.468291,-117.693952,0.0,top
C3,115.947596,-131.153623,0.0,top
C30,120.91049,-118.939133,0.0,top
C31,77.642581,-142.168871,0.0,top
C32,76.101401,-138.82664,270.0,top
C33,82.333724,-138.569439,270.0,top
C34,84.07605,-138.344623,270.0,top
C35,101.306374,-89.075806,0.0,top
C36,100.898364,-96.538716,180.0,top
C37,67.486126,-91.87201,0.0,top
C38,67.388153,-85.247851,0.0,top
C39,97.47,-96.52,180.0,top
C4,116.538917,-128.268877,0.0,top
C40,74.7583,-91.836009,0.0,top
C41,74.784271,-85.247851,0.0,top
C42,72.086999,-121.298503,0.0,top
C43,90.960134,-97.244732,270.0,top
C44,94.726362,-106.334988,270.0,top
C45,90.805193,-93.200027,90.0,top
C46,72.830182,-123.027832,0.0,top
C47,65.875222,-128.170498,0.0,top
C48,97.710712,-127.520828,90.0,top
C49,91.549372,-127.472122,90.0,top
C5,107.438397,-125.531074,0.0,top
C6,106.919482,-136.821566,270.0,top
C7,105.067136,-128.664026,180.0,top
C8,104.458568,-133.551013,180.0,top
C9,90.405669,-74.363267,90.0,top
D1,77.84871,-54.112694,270.0,top
D10,94.797818,-94.341436,0.0,top
D11,76.306337,-97.020133,90.0,top
D12,94.774692,-92.051029,180.0,top
D13,96.683974,-123.494357,0.0,top
D14,65.34037,-136.624108,90.0,top
D2,102.227332,-57.654309,90.0,top
D3,95.915297,-129.754936,270.0,top
D4,111.76,-105.95,270.0,top
D5,104.284536,-141.078114,180.0,top
D6,119.38,-105.95,270.0,top
D7,100.136735,-93.085997,90.0,top
D8,102.476013,-93.109867,270.0,top
D9,66.04,-97.06,270.0,top
J1,116.84,-140.97,90.0,top
